"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 12 18:38:36 YEKT 2023","Sun Feb 12 18:38:37 YEKT 2023","895","","user.CreateUserTest","","user.CreateUserTest","createNewUniqueUserTest","createNewUniqueUserTest",""
"passed","Sun Feb 12 18:38:30 YEKT 2023","Sun Feb 12 18:38:31 YEKT 2023","457","","order.GetOrderTest","","order.GetOrderTest","getOrderListWithoutAuthorizationTest","getOrderListWithoutAuthorizationTest",""
"passed","Sun Feb 12 18:38:38 YEKT 2023","Sun Feb 12 18:38:38 YEKT 2023","390","","user.CreateUserTest","","user.CreateUserTest","createUserWithoutEmail","createUserWithoutEmail",""
"failed","Sun Feb 12 18:38:33 YEKT 2023","Sun Feb 12 18:38:35 YEKT 2023","1394","","user.ChangingUserDataTest","","user.ChangingUserDataTest","changeUserDataWithAuthorizationTest","changeUserDataWithAuthorizationTest",""
"passed","Sun Feb 12 18:38:27 YEKT 2023","Sun Feb 12 18:38:28 YEKT 2023","1376","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrderWithAuthorizationAndWithoutIngredientsTest","createNewOrderWithAuthorizationAndWithoutIngredientsTest",""
"passed","Sun Feb 12 18:38:38 YEKT 2023","Sun Feb 12 18:38:39 YEKT 2023","1345","","user.LoginUserTest","","user.LoginUserTest","createAndLoginUserTest","createAndLoginUserTest",""
"passed","Sun Feb 12 18:38:39 YEKT 2023","Sun Feb 12 18:38:41 YEKT 2023","1279","","user.LoginUserTest","","user.LoginUserTest","loginUserWithInvalidLoginTest","loginUserWithInvalidLoginTest",""
"broken","Sun Feb 12 18:38:31 YEKT 2023","Sun Feb 12 18:38:32 YEKT 2023","1293","","order.GetOrderTest","","order.GetOrderTest","getOrderListWithAuthorizationTest","getOrderListWithAuthorizationTest",""
"passed","Sun Feb 12 18:38:35 YEKT 2023","Sun Feb 12 18:38:35 YEKT 2023","374","","user.CreateUserTest","","user.CreateUserTest","createUserWithoutPassword","createUserWithoutPassword",""
"broken","Sun Feb 12 18:38:22 YEKT 2023","Sun Feb 12 18:38:25 YEKT 2023","3681","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrderWithoutAuthorizationAndWithIngredientsTest","createNewOrderWithoutAuthorizationAndWithIngredientsTest",""
"passed","Sun Feb 12 18:38:37 YEKT 2023","Sun Feb 12 18:38:38 YEKT 2023","364","","user.CreateUserTest","","user.CreateUserTest","createUserWithoutName","createUserWithoutName",""
"passed","Sun Feb 12 18:38:35 YEKT 2023","Sun Feb 12 18:38:36 YEKT 2023","1281","","user.CreateUserTest","","user.CreateUserTest","createUserWhoIsAlreadyRegistered","createUserWhoIsAlreadyRegistered",""
"failed","Sun Feb 12 18:38:41 YEKT 2023","Sun Feb 12 18:38:42 YEKT 2023","1307","","user.LoginUserTest","","user.LoginUserTest","loginUserWithInvalidPasswordTest","loginUserWithInvalidPasswordTest",""
"passed","Sun Feb 12 18:38:30 YEKT 2023","Sun Feb 12 18:38:30 YEKT 2023","378","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrderWithoutAuthorizationAndWithoutIngredientsTest","createNewOrderWithoutAuthorizationAndWithoutIngredientsTest",""
"broken","Sun Feb 12 18:38:28 YEKT 2023","Sun Feb 12 18:38:30 YEKT 2023","1360","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrderWithAuthorizationAndWithIngredientsTest","createNewOrderWithAuthorizationAndWithIngredientsTest",""
"passed","Sun Feb 12 18:38:32 YEKT 2023","Sun Feb 12 18:38:33 YEKT 2023","1437","","user.ChangingUserDataTest","","user.ChangingUserDataTest","changeUserDataWithoutAuthorizationTest","changeUserDataWithoutAuthorizationTest",""
"passed","Sun Feb 12 18:38:26 YEKT 2023","Sun Feb 12 18:38:27 YEKT 2023","1567","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrderWithAuthorizationAndWithInvalidIngredientsTest","createNewOrderWithAuthorizationAndWithInvalidIngredientsTest",""
